Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0381 (CAS 200381-1),O=CC=CC1=CC=CC=C1,20.0,1311.3,-8.33,21.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0382 (CAS 200382-2),O=CC=CC1=CC=CC=C1,69.2,958.1,-7.07,15.3,Non-Sensitizer
Benchmark_Compound_0383 (CAS 200383-3),O=CC=CC1=CC=CC=C1,63.5,1144.1,-8.31,88.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0384 (CAS 200384-4),O=CC=CC1=CC=CC=C1,84.6,248.5,-3.66,37.2,Non-Sensitizer
Benchmark_Compound_0385 (CAS 200385-5),O=CC=CC1=CC=CC=C1,72.5,697.7,-7.16,69.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0386 (CAS 200386-6),O=CC=CC1=CC=CC=C1,78.3,23.9,-5.43,7.4,Non-Sensitizer
Benchmark_Compound_0387 (CAS 200387-7),O=CC=CC1=CC=CC=C1,34.0,377.6,-8.29,69.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0388 (CAS 200388-8),O=CC=CC1=CC=CC=C1,25.1,1092.4,-4.83,34.7,Non-Sensitizer
Benchmark_Compound_0389 (CAS 200389-9),O=CC=CC1=CC=CC=C1,73.8,1487.8,-6.72,10.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0390 (CAS 200390-0),O=CC=CC1=CC=CC=C1,78.6,157.8,-3.56,62.3,Non-Sensitizer
Benchmark_Compound_0391 (CAS 200391-1),O=CC=CC1=CC=CC=C1,94.2,608.2,-3.62,27.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0392 (CAS 200392-2),O=CC=CC1=CC=CC=C1,45.1,1202.1,-6.71,41.4,Non-Sensitizer
Benchmark_Compound_0393 (CAS 200393-3),O=CC=CC1=CC=CC=C1,41.6,314.0,-3.54,12.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0394 (CAS 200394-4),O=CC=CC1=CC=CC=C1,76.0,837.1,-3.02,18.8,Non-Sensitizer
Benchmark_Compound_0395 (CAS 200395-5),O=CC=CC1=CC=CC=C1,39.0,1102.3,-3.96,33.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0396 (CAS 200396-6),O=CC=CC1=CC=CC=C1,89.1,927.8,-3.85,13.4,Non-Sensitizer
Benchmark_Compound_0397 (CAS 200397-7),O=CC=CC1=CC=CC=C1,83.0,290.2,-7.13,90.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0398 (CAS 200398-8),O=CC=CC1=CC=CC=C1,46.5,539.5,-5.33,5.6,Non-Sensitizer
Benchmark_Compound_0399 (CAS 200399-9),O=CC=CC1=CC=CC=C1,73.8,1177.8,-8.13,50.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0400 (CAS 200400-0),O=CC=CC1=CC=CC=C1,74.1,835.8,-7.98,16.6,Non-Sensitizer
Benchmark_Compound_0401 (CAS 200401-1),O=CC=CC1=CC=CC=C1,18.8,17.8,-3.01,33.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0402 (CAS 200402-2),O=CC=CC1=CC=CC=C1,86.7,1143.9,-6.7,92.0,Non-Sensitizer
Benchmark_Compound_0403 (CAS 200403-3),O=CC=CC1=CC=CC=C1,52.9,62.6,-4.38,20.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0404 (CAS 200404-4),O=CC=CC1=CC=CC=C1,80.2,1121.1,-4.06,95.8,Non-Sensitizer
Benchmark_Compound_0405 (CAS 200405-5),O=CC=CC1=CC=CC=C1,37.2,311.7,-3.78,24.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0406 (CAS 200406-6),O=CC=CC1=CC=CC=C1,86.1,1437.5,-3.01,74.7,Non-Sensitizer
Benchmark_Compound_0407 (CAS 200407-7),O=CC=CC1=CC=CC=C1,43.1,558.2,-7.17,56.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0408 (CAS 200408-8),O=CC=CC1=CC=CC=C1,10.9,497.1,-8.28,88.1,Non-Sensitizer
Benchmark_Compound_0409 (CAS 200409-9),O=CC=CC1=CC=CC=C1,87.0,231.8,-6.24,57.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0410 (CAS 200410-0),O=CC=CC1=CC=CC=C1,17.8,465.4,-7.78,55.2,Non-Sensitizer
Benchmark_Compound_0411 (CAS 200411-1),O=CC=CC1=CC=CC=C1,37.1,1316.2,-8.38,23.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0412 (CAS 200412-2),O=CC=CC1=CC=CC=C1,90.8,1494.5,-6.52,20.6,Non-Sensitizer
Benchmark_Compound_0413 (CAS 200413-3),O=CC=CC1=CC=CC=C1,90.8,558.8,-4.19,91.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0414 (CAS 200414-4),O=CC=CC1=CC=CC=C1,58.7,678.4,-5.39,35.8,Non-Sensitizer
Benchmark_Compound_0415 (CAS 200415-5),O=CC=CC1=CC=CC=C1,63.7,1085.9,-6.78,40.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0416 (CAS 200416-6),O=CC=CC1=CC=CC=C1,48.1,1330.4,-4.9,76.4,Non-Sensitizer
Benchmark_Compound_0417 (CAS 200417-7),O=CC=CC1=CC=CC=C1,34.9,893.6,-7.22,36.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0418 (CAS 200418-8),O=CC=CC1=CC=CC=C1,37.9,593.4,-8.42,94.5,Non-Sensitizer
Benchmark_Compound_0419 (CAS 200419-9),O=CC=CC1=CC=CC=C1,67.2,624.8,-4.3,74.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0420 (CAS 200420-0),O=CC=CC1=CC=CC=C1,74.0,1046.5,-5.07,61.2,Non-Sensitizer
Benchmark_Compound_0421 (CAS 200421-1),O=CC=CC1=CC=CC=C1,77.3,14.8,-4.31,87.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0422 (CAS 200422-2),O=CC=CC1=CC=CC=C1,77.1,933.2,-8.29,9.7,Non-Sensitizer
Benchmark_Compound_0423 (CAS 200423-3),O=CC=CC1=CC=CC=C1,17.8,539.7,-3.9,29.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0424 (CAS 200424-4),O=CC=CC1=CC=CC=C1,52.0,1193.4,-5.09,48.7,Non-Sensitizer
Benchmark_Compound_0425 (CAS 200425-5),O=CC=CC1=CC=CC=C1,14.9,148.6,-5.4,26.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0426 (CAS 200426-6),O=CC=CC1=CC=CC=C1,56.7,886.4,-5.06,74.9,Non-Sensitizer
Benchmark_Compound_0427 (CAS 200427-7),O=CC=CC1=CC=CC=C1,47.5,726.6,-3.75,91.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0428 (CAS 200428-8),O=CC=CC1=CC=CC=C1,85.5,967.1,-5.27,44.8,Non-Sensitizer
Benchmark_Compound_0429 (CAS 200429-9),O=CC=CC1=CC=CC=C1,39.8,106.6,-5.3,37.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0430 (CAS 200430-0),O=CC=CC1=CC=CC=C1,20.0,874.2,-3.05,95.4,Non-Sensitizer
Benchmark_Compound_0431 (CAS 200431-1),O=CC=CC1=CC=CC=C1,22.2,846.6,-4.34,46.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0432 (CAS 200432-2),O=CC=CC1=CC=CC=C1,74.7,845.4,-6.07,51.0,Non-Sensitizer
Benchmark_Compound_0433 (CAS 200433-3),O=CC=CC1=CC=CC=C1,62.5,909.2,-4.61,38.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0434 (CAS 200434-4),O=CC=CC1=CC=CC=C1,18.6,1017.9,-6.36,90.5,Non-Sensitizer
Benchmark_Compound_0435 (CAS 200435-5),O=CC=CC1=CC=CC=C1,17.1,1209.4,-7.24,58.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0436 (CAS 200436-6),O=CC=CC1=CC=CC=C1,69.6,412.0,-5.22,76.6,Non-Sensitizer
Benchmark_Compound_0437 (CAS 200437-7),O=CC=CC1=CC=CC=C1,16.2,1239.3,-3.39,81.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0438 (CAS 200438-8),O=CC=CC1=CC=CC=C1,79.9,752.4,-3.39,37.1,Non-Sensitizer
Benchmark_Compound_0439 (CAS 200439-9),O=CC=CC1=CC=CC=C1,70.0,124.8,-6.62,45.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0440 (CAS 200440-0),O=CC=CC1=CC=CC=C1,16.9,97.2,-5.6,84.8,Non-Sensitizer
Benchmark_Compound_0441 (CAS 200441-1),O=CC=CC1=CC=CC=C1,17.2,508.0,-7.34,39.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0442 (CAS 200442-2),O=CC=CC1=CC=CC=C1,93.9,1179.5,-3.02,79.6,Non-Sensitizer
Benchmark_Compound_0443 (CAS 200443-3),O=CC=CC1=CC=CC=C1,41.8,1064.4,-3.1,93.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0444 (CAS 200444-4),O=CC=CC1=CC=CC=C1,41.5,1185.0,-4.93,63.6,Non-Sensitizer
Benchmark_Compound_0445 (CAS 200445-5),O=CC=CC1=CC=CC=C1,79.1,780.7,-4.08,74.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0446 (CAS 200446-6),O=CC=CC1=CC=CC=C1,90.5,665.9,-4.57,80.7,Non-Sensitizer
Benchmark_Compound_0447 (CAS 200447-7),O=CC=CC1=CC=CC=C1,93.8,229.7,-5.24,84.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0448 (CAS 200448-8),O=CC=CC1=CC=CC=C1,74.0,499.0,-8.21,42.1,Non-Sensitizer
Benchmark_Compound_0449 (CAS 200449-9),O=CC=CC1=CC=CC=C1,42.0,656.7,-6.0,9.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0450 (CAS 200450-0),O=CC=CC1=CC=CC=C1,17.1,142.0,-4.79,42.8,Non-Sensitizer
Benchmark_Compound_0451 (CAS 200451-1),O=CC=CC1=CC=CC=C1,76.1,338.7,-4.77,68.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0452 (CAS 200452-2),O=CC=CC1=CC=CC=C1,57.5,901.4,-6.45,47.3,Non-Sensitizer
Benchmark_Compound_0453 (CAS 200453-3),O=CC=CC1=CC=CC=C1,46.1,1106.1,-3.32,75.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0454 (CAS 200454-4),O=CC=CC1=CC=CC=C1,87.0,1497.5,-7.58,38.6,Non-Sensitizer
Benchmark_Compound_0455 (CAS 200455-5),O=CC=CC1=CC=CC=C1,19.5,1400.3,-5.75,64.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0456 (CAS 200456-6),O=CC=CC1=CC=CC=C1,51.9,967.4,-4.7,22.5,Non-Sensitizer
Benchmark_Compound_0457 (CAS 200457-7),O=CC=CC1=CC=CC=C1,11.0,637.7,-4.67,75.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0458 (CAS 200458-8),O=CC=CC1=CC=CC=C1,49.8,957.9,-4.93,56.3,Non-Sensitizer
Benchmark_Compound_0459 (CAS 200459-9),O=CC=CC1=CC=CC=C1,14.8,1180.6,-6.99,24.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0460 (CAS 200460-0),O=CC=CC1=CC=CC=C1,20.1,186.3,-7.64,32.4,Non-Sensitizer
Benchmark_Compound_0461 (CAS 200461-1),O=CC=CC1=CC=CC=C1,20.0,620.8,-5.0,75.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0462 (CAS 200462-2),O=CC=CC1=CC=CC=C1,65.2,1261.3,-5.2,50.4,Non-Sensitizer
Benchmark_Compound_0463 (CAS 200463-3),O=CC=CC1=CC=CC=C1,73.4,581.9,-7.51,25.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0464 (CAS 200464-4),O=CC=CC1=CC=CC=C1,59.6,862.1,-4.62,95.9,Non-Sensitizer
Benchmark_Compound_0465 (CAS 200465-5),O=CC=CC1=CC=CC=C1,91.8,885.8,-6.0,72.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0466 (CAS 200466-6),O=CC=CC1=CC=CC=C1,41.9,284.9,-4.83,95.0,Non-Sensitizer
Benchmark_Compound_0467 (CAS 200467-7),O=CC=CC1=CC=CC=C1,34.3,549.7,-3.89,45.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0468 (CAS 200468-8),O=CC=CC1=CC=CC=C1,83.8,508.4,-7.57,49.7,Non-Sensitizer
Benchmark_Compound_0469 (CAS 200469-9),O=CC=CC1=CC=CC=C1,29.0,49.0,-8.39,89.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0470 (CAS 200470-0),O=CC=CC1=CC=CC=C1,91.9,46.0,-4.21,54.4,Non-Sensitizer
Benchmark_Compound_0471 (CAS 200471-1),O=CC=CC1=CC=CC=C1,11.0,1249.2,-5.15,71.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0472 (CAS 200472-2),O=CC=CC1=CC=CC=C1,92.4,416.9,-4.65,28.7,Non-Sensitizer
Benchmark_Compound_0473 (CAS 200473-3),O=CC=CC1=CC=CC=C1,13.7,781.9,-3.89,47.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0474 (CAS 200474-4),O=CC=CC1=CC=CC=C1,85.7,455.1,-4.08,16.6,Non-Sensitizer
Benchmark_Compound_0475 (CAS 200475-5),O=CC=CC1=CC=CC=C1,54.9,1411.6,-3.21,24.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0476 (CAS 200476-6),O=CC=CC1=CC=CC=C1,94.4,396.4,-5.55,5.1,Non-Sensitizer
Benchmark_Compound_0477 (CAS 200477-7),O=CC=CC1=CC=CC=C1,16.3,650.2,-5.81,8.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0478 (CAS 200478-8),O=CC=CC1=CC=CC=C1,57.1,1310.4,-6.29,96.9,Non-Sensitizer
Benchmark_Compound_0479 (CAS 200479-9),O=CC=CC1=CC=CC=C1,92.4,1264.5,-7.65,27.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0480 (CAS 200480-0),O=CC=CC1=CC=CC=C1,54.5,287.3,-5.35,67.4,Non-Sensitizer
Benchmark_Compound_0481 (CAS 200481-1),O=CC=CC1=CC=CC=C1,63.5,1205.9,-6.98,83.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0482 (CAS 200482-2),O=CC=CC1=CC=CC=C1,69.1,692.7,-3.43,56.8,Non-Sensitizer
Benchmark_Compound_0483 (CAS 200483-3),O=CC=CC1=CC=CC=C1,48.6,729.6,-5.29,19.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0484 (CAS 200484-4),O=CC=CC1=CC=CC=C1,63.3,208.9,-5.24,73.4,Non-Sensitizer
Benchmark_Compound_0485 (CAS 200485-5),O=CC=CC1=CC=CC=C1,59.7,130.1,-6.55,61.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0486 (CAS 200486-6),O=CC=CC1=CC=CC=C1,86.6,1094.6,-8.21,73.7,Non-Sensitizer
Benchmark_Compound_0487 (CAS 200487-7),O=CC=CC1=CC=CC=C1,13.9,749.7,-8.33,77.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0488 (CAS 200488-8),O=CC=CC1=CC=CC=C1,33.9,660.9,-6.17,96.7,Non-Sensitizer
Benchmark_Compound_0489 (CAS 200489-9),O=CC=CC1=CC=CC=C1,90.8,1097.0,-8.03,58.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0490 (CAS 200490-0),O=CC=CC1=CC=CC=C1,85.7,1150.6,-5.16,37.1,Non-Sensitizer
Benchmark_Compound_0491 (CAS 200491-1),O=CC=CC1=CC=CC=C1,48.7,246.8,-3.65,66.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0492 (CAS 200492-2),O=CC=CC1=CC=CC=C1,62.7,919.2,-3.64,11.4,Non-Sensitizer
Benchmark_Compound_0493 (CAS 200493-3),O=CC=CC1=CC=CC=C1,33.6,211.7,-4.88,89.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0494 (CAS 200494-4),O=CC=CC1=CC=CC=C1,26.0,1129.5,-7.34,16.2,Non-Sensitizer
Benchmark_Compound_0495 (CAS 200495-5),O=CC=CC1=CC=CC=C1,49.4,988.9,-3.75,35.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0496 (CAS 200496-6),O=CC=CC1=CC=CC=C1,40.0,1435.4,-3.63,81.7,Non-Sensitizer
Benchmark_Compound_0497 (CAS 200497-7),O=CC=CC1=CC=CC=C1,59.6,112.7,-7.42,61.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0498 (CAS 200498-8),O=CC=CC1=CC=CC=C1,16.6,95.0,-4.44,42.0,Non-Sensitizer
Benchmark_Compound_0499 (CAS 200499-9),O=CC=CC1=CC=CC=C1,92.8,430.5,-6.92,49.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0500 (CAS 200500-0),O=CC=CC1=CC=CC=C1,93.8,399.9,-4.09,85.3,Non-Sensitizer
Benchmark_Compound_0501 (CAS 200501-1),O=CC=CC1=CC=CC=C1,69.3,378.0,-3.02,37.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0502 (CAS 200502-2),O=CC=CC1=CC=CC=C1,55.6,1360.3,-8.33,86.7,Non-Sensitizer
Benchmark_Compound_0503 (CAS 200503-3),O=CC=CC1=CC=CC=C1,36.3,381.8,-3.56,13.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0504 (CAS 200504-4),O=CC=CC1=CC=CC=C1,79.2,415.2,-5.08,78.0,Non-Sensitizer
Benchmark_Compound_0505 (CAS 200505-5),O=CC=CC1=CC=CC=C1,68.2,1141.5,-3.15,84.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0506 (CAS 200506-6),O=CC=CC1=CC=CC=C1,23.8,680.1,-5.94,22.1,Non-Sensitizer
Benchmark_Compound_0507 (CAS 200507-7),O=CC=CC1=CC=CC=C1,87.4,1167.3,-3.84,45.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0508 (CAS 200508-8),O=CC=CC1=CC=CC=C1,79.9,107.4,-8.16,20.6,Non-Sensitizer
Benchmark_Compound_0509 (CAS 200509-9),O=CC=CC1=CC=CC=C1,90.7,736.5,-6.66,71.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0510 (CAS 200510-0),O=CC=CC1=CC=CC=C1,71.7,60.1,-8.13,55.3,Non-Sensitizer
Benchmark_Compound_0511 (CAS 200511-1),O=CC=CC1=CC=CC=C1,62.1,103.4,-3.14,64.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0512 (CAS 200512-2),O=CC=CC1=CC=CC=C1,45.6,1360.6,-4.01,23.5,Non-Sensitizer
Benchmark_Compound_0513 (CAS 200513-3),O=CC=CC1=CC=CC=C1,89.3,217.5,-3.81,24.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0514 (CAS 200514-4),O=CC=CC1=CC=CC=C1,83.6,803.3,-3.34,8.9,Non-Sensitizer
Benchmark_Compound_0515 (CAS 200515-5),O=CC=CC1=CC=CC=C1,13.8,622.5,-8.03,35.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0516 (CAS 200516-6),O=CC=CC1=CC=CC=C1,12.2,527.5,-6.38,57.6,Non-Sensitizer
Benchmark_Compound_0517 (CAS 200517-7),O=CC=CC1=CC=CC=C1,42.0,1350.8,-8.11,85.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0518 (CAS 200518-8),O=CC=CC1=CC=CC=C1,78.9,42.5,-7.34,67.7,Non-Sensitizer
Benchmark_Compound_0519 (CAS 200519-9),O=CC=CC1=CC=CC=C1,93.9,999.0,-7.24,45.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0520 (CAS 200520-0),O=CC=CC1=CC=CC=C1,22.8,1445.5,-5.92,94.6,Non-Sensitizer
Benchmark_Compound_0521 (CAS 200521-1),O=CC=CC1=CC=CC=C1,60.5,844.7,-7.02,72.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0522 (CAS 200522-2),O=CC=CC1=CC=CC=C1,42.4,1405.9,-7.94,92.4,Non-Sensitizer
Benchmark_Compound_0523 (CAS 200523-3),O=CC=CC1=CC=CC=C1,92.4,87.9,-7.58,54.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0524 (CAS 200524-4),O=CC=CC1=CC=CC=C1,81.6,634.0,-7.69,29.3,Non-Sensitizer
Benchmark_Compound_0525 (CAS 200525-5),O=CC=CC1=CC=CC=C1,81.3,397.6,-3.15,10.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0526 (CAS 200526-6),O=CC=CC1=CC=CC=C1,49.8,1098.9,-4.32,73.3,Non-Sensitizer
Benchmark_Compound_0527 (CAS 200527-7),O=CC=CC1=CC=CC=C1,45.3,1472.1,-3.18,16.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0528 (CAS 200528-8),O=CC=CC1=CC=CC=C1,33.2,392.2,-6.08,33.5,Non-Sensitizer
Benchmark_Compound_0529 (CAS 200529-9),O=CC=CC1=CC=CC=C1,14.8,984.7,-6.97,55.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0530 (CAS 200530-0),O=CC=CC1=CC=CC=C1,83.5,305.2,-4.11,58.1,Non-Sensitizer
Benchmark_Compound_0531 (CAS 200531-1),O=CC=CC1=CC=CC=C1,79.1,852.3,-6.71,61.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0532 (CAS 200532-2),O=CC=CC1=CC=CC=C1,95.0,701.3,-6.85,20.6,Non-Sensitizer
Benchmark_Compound_0533 (CAS 200533-3),O=CC=CC1=CC=CC=C1,94.7,1458.3,-7.22,40.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0534 (CAS 200534-4),O=CC=CC1=CC=CC=C1,57.2,916.7,-7.79,63.0,Non-Sensitizer
Benchmark_Compound_0535 (CAS 200535-5),O=CC=CC1=CC=CC=C1,75.4,530.8,-7.09,96.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0536 (CAS 200536-6),O=CC=CC1=CC=CC=C1,90.3,180.0,-6.55,73.4,Non-Sensitizer
Benchmark_Compound_0537 (CAS 200537-7),O=CC=CC1=CC=CC=C1,82.2,235.4,-4.79,91.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0538 (CAS 200538-8),O=CC=CC1=CC=CC=C1,31.0,345.7,-8.16,76.6,Non-Sensitizer
Benchmark_Compound_0539 (CAS 200539-9),O=CC=CC1=CC=CC=C1,48.3,383.9,-7.34,60.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0540 (CAS 200540-0),O=CC=CC1=CC=CC=C1,21.0,1277.4,-4.05,23.1,Non-Sensitizer
Benchmark_Compound_0541 (CAS 200541-1),O=CC=CC1=CC=CC=C1,91.1,846.2,-7.69,67.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0542 (CAS 200542-2),O=CC=CC1=CC=CC=C1,61.5,789.9,-6.62,63.6,Non-Sensitizer
Benchmark_Compound_0543 (CAS 200543-3),O=CC=CC1=CC=CC=C1,29.4,181.0,-3.74,61.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0544 (CAS 200544-4),O=CC=CC1=CC=CC=C1,67.1,1291.6,-7.65,51.0,Non-Sensitizer
Benchmark_Compound_0545 (CAS 200545-5),O=CC=CC1=CC=CC=C1,62.5,1087.0,-8.04,54.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0546 (CAS 200546-6),O=CC=CC1=CC=CC=C1,40.4,110.8,-5.84,36.4,Non-Sensitizer
Benchmark_Compound_0547 (CAS 200547-7),O=CC=CC1=CC=CC=C1,19.7,1064.7,-6.84,53.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0548 (CAS 200548-8),O=CC=CC1=CC=CC=C1,67.1,819.9,-5.4,23.6,Non-Sensitizer
Benchmark_Compound_0549 (CAS 200549-9),O=CC=CC1=CC=CC=C1,54.2,131.8,-4.08,80.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0550 (CAS 200550-0),O=CC=CC1=CC=CC=C1,75.6,692.9,-7.75,22.5,Non-Sensitizer
Benchmark_Compound_0551 (CAS 200551-1),O=CC=CC1=CC=CC=C1,54.2,732.2,-5.31,13.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0552 (CAS 200552-2),O=CC=CC1=CC=CC=C1,82.4,257.0,-5.72,46.0,Non-Sensitizer
Benchmark_Compound_0553 (CAS 200553-3),O=CC=CC1=CC=CC=C1,56.9,1419.1,-7.71,66.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0554 (CAS 200554-4),O=CC=CC1=CC=CC=C1,57.7,1276.5,-5.07,46.1,Non-Sensitizer
Benchmark_Compound_0555 (CAS 200555-5),O=CC=CC1=CC=CC=C1,84.5,1006.8,-6.99,31.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0556 (CAS 200556-6),O=CC=CC1=CC=CC=C1,44.3,698.8,-5.82,57.5,Non-Sensitizer
Benchmark_Compound_0557 (CAS 200557-7),O=CC=CC1=CC=CC=C1,21.4,623.5,-8.05,37.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0558 (CAS 200558-8),O=CC=CC1=CC=CC=C1,12.4,980.0,-5.97,92.7,Non-Sensitizer
Benchmark_Compound_0559 (CAS 200559-9),O=CC=CC1=CC=CC=C1,74.2,822.7,-6.81,91.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0560 (CAS 200560-0),O=CC=CC1=CC=CC=C1,62.7,102.8,-3.98,52.2,Non-Sensitizer
Benchmark_Compound_0561 (CAS 200561-1),O=CC=CC1=CC=CC=C1,69.8,773.6,-8.19,35.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0562 (CAS 200562-2),O=CC=CC1=CC=CC=C1,28.1,1211.5,-6.2,74.3,Non-Sensitizer
Benchmark_Compound_0563 (CAS 200563-3),O=CC=CC1=CC=CC=C1,21.6,694.3,-5.98,8.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0564 (CAS 200564-4),O=CC=CC1=CC=CC=C1,11.2,87.4,-4.51,49.6,Non-Sensitizer
Benchmark_Compound_0565 (CAS 200565-5),O=CC=CC1=CC=CC=C1,39.8,1181.6,-5.34,36.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0566 (CAS 200566-6),O=CC=CC1=CC=CC=C1,60.1,310.0,-4.83,91.5,Non-Sensitizer
Benchmark_Compound_0567 (CAS 200567-7),O=CC=CC1=CC=CC=C1,43.3,395.3,-4.23,6.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0568 (CAS 200568-8),O=CC=CC1=CC=CC=C1,47.2,255.4,-3.76,57.0,Non-Sensitizer
Benchmark_Compound_0569 (CAS 200569-9),O=CC=CC1=CC=CC=C1,86.9,502.0,-6.77,74.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0570 (CAS 200570-0),O=CC=CC1=CC=CC=C1,39.6,1137.6,-5.54,50.6,Non-Sensitizer
Benchmark_Compound_0571 (CAS 200571-1),O=CC=CC1=CC=CC=C1,53.7,783.9,-3.88,13.0,Sensitizer (Cat. 1A/1B)
