Compound Name,CAS,Experimental Hazard,Predicted GHS,ED01 (ug/cm2),AD Status
Test_Substance_551,678-44-2,Non-Sensitizer (NC),Not Classified,1057.65,In-Domain
Test_Substance_552,323-54-3,Non-Sensitizer (NC),Not Classified,1365.73,In-Domain
Test_Substance_553,163-10-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,308.27,In-Domain
Test_Substance_554,154-14-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.54,In-Domain
Test_Substance_555,782-77-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,43.41,In-Domain
Test_Substance_556,637-35-2,Non-Sensitizer (NC),Not Classified,1345.03,In-Domain
Test_Substance_557,376-35-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.98,In-Domain
Test_Substance_558,133-24-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,393.42,In-Domain
Test_Substance_559,196-55-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,29.76,In-Domain
Test_Substance_560,756-33-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,182.93,In-Domain
Test_Substance_561,585-13-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,36.47,In-Domain
Test_Substance_562,677-32-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,258.54,Out-of-Domain (Expert Review)
Test_Substance_563,558-69-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,296.06,In-Domain
Test_Substance_564,664-47-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,375.44,In-Domain
Test_Substance_565,864-77-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,153.76,Out-of-Domain (Expert Review)
Test_Substance_566,392-67-1,Non-Sensitizer (NC),Not Classified,1460.99,In-Domain
Test_Substance_567,255-66-5,Non-Sensitizer (NC),Not Classified,1727.06,In-Domain
Test_Substance_568,359-30-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,149.3,In-Domain
Test_Substance_569,251-41-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,85.4,In-Domain
Test_Substance_570,59-95-8,Non-Sensitizer (NC),Not Classified,1375.7,In-Domain
Test_Substance_571,684-30-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,477.15,In-Domain
Test_Substance_572,853-90-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,25.94,In-Domain
Test_Substance_573,472-79-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,121.65,In-Domain
Test_Substance_574,362-90-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.69,In-Domain
Test_Substance_575,311-93-3,Non-Sensitizer (NC),Not Classified,792.94,In-Domain
Test_Substance_576,224-64-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.38,In-Domain
Test_Substance_577,177-77-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,267.18,In-Domain
Test_Substance_578,127-67-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.22,In-Domain
Test_Substance_579,364-38-2,Non-Sensitizer (NC),Not Classified,1156.55,In-Domain
Test_Substance_580,242-78-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,290.48,In-Domain
Test_Substance_581,708-85-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.09,In-Domain
Test_Substance_582,425-31-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,15.83,In-Domain
Test_Substance_583,424-76-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,81.99,In-Domain
Test_Substance_584,513-81-0,Non-Sensitizer (NC),Not Classified,1859.14,Out-of-Domain (Expert Review)
Test_Substance_585,332-21-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,179.51,In-Domain
Test_Substance_586,118-68-0,Non-Sensitizer (NC),Not Classified,1145.87,In-Domain
Test_Substance_587,246-75-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.92,In-Domain
Test_Substance_588,640-96-6,Non-Sensitizer (NC),Not Classified,1462.64,In-Domain
Test_Substance_589,78-33-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,387.95,In-Domain
Test_Substance_590,623-38-0,Non-Sensitizer (NC),Not Classified,1872.11,Out-of-Domain (Expert Review)
Test_Substance_591,730-78-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.62,In-Domain
Test_Substance_592,253-80-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,240.29,In-Domain
Test_Substance_593,685-33-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,24.41,In-Domain
Test_Substance_594,718-29-8,Non-Sensitizer (NC),Not Classified,1405.5,In-Domain
Test_Substance_595,416-75-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,30.15,In-Domain
Test_Substance_596,827-82-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.27,In-Domain
Test_Substance_597,108-11-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,312.64,In-Domain
Test_Substance_598,128-68-5,Non-Sensitizer (NC),Not Classified,658.95,In-Domain
Test_Substance_599,659-39-8,Non-Sensitizer (NC),Not Classified,510.12,In-Domain
Test_Substance_600,56-58-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,31.56,In-Domain
Test_Substance_601,286-55-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,480.92,In-Domain
Test_Substance_602,103-59-2,Non-Sensitizer (NC),Not Classified,652.93,Out-of-Domain (Expert Review)
Test_Substance_603,416-24-3,Non-Sensitizer (NC),Not Classified,626.54,In-Domain
Test_Substance_604,297-26-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,375.58,Out-of-Domain (Expert Review)
Test_Substance_605,88-32-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,365.42,In-Domain
Test_Substance_606,118-52-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,12.79,In-Domain
Test_Substance_607,363-42-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.22,In-Domain
Test_Substance_608,688-28-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,199.93,In-Domain
Test_Substance_609,882-17-2,Non-Sensitizer (NC),Not Classified,1316.43,In-Domain
Test_Substance_610,668-98-6,Non-Sensitizer (NC),Not Classified,1141.3,In-Domain
Test_Substance_611,698-91-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.74,In-Domain
Test_Substance_612,172-69-5,Non-Sensitizer (NC),Not Classified,1117.07,In-Domain
Test_Substance_613,598-88-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,249.2,In-Domain
Test_Substance_614,234-86-3,Non-Sensitizer (NC),Not Classified,938.65,In-Domain
Test_Substance_615,137-77-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,233.49,In-Domain
Test_Substance_616,434-47-4,Non-Sensitizer (NC),Not Classified,1114.57,In-Domain
Test_Substance_617,70-80-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.99,In-Domain
Test_Substance_618,118-10-3,Non-Sensitizer (NC),Not Classified,1527.73,In-Domain
Test_Substance_619,714-30-3,Non-Sensitizer (NC),Not Classified,1165.02,In-Domain
Test_Substance_620,616-14-3,Non-Sensitizer (NC),Not Classified,1742.19,In-Domain
Test_Substance_621,897-94-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,218.15,In-Domain
Test_Substance_622,474-14-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.53,In-Domain
Test_Substance_623,874-95-8,Non-Sensitizer (NC),Not Classified,1788.16,In-Domain
Test_Substance_624,607-32-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,33.85,In-Domain
Test_Substance_625,669-27-5,Non-Sensitizer (NC),Not Classified,1794.47,In-Domain
Test_Substance_626,465-51-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,205.42,In-Domain
Test_Substance_627,723-82-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,18.04,In-Domain
Test_Substance_628,431-37-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.86,In-Domain
Test_Substance_629,530-28-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,300.64,In-Domain
Test_Substance_630,403-22-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,366.0,In-Domain
Test_Substance_631,609-58-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,60.06,In-Domain
Test_Substance_632,331-26-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.19,In-Domain
Test_Substance_633,363-58-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,38.36,In-Domain
Test_Substance_634,586-12-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,58.25,In-Domain
Test_Substance_635,871-37-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,35.87,In-Domain
Test_Substance_636,385-50-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,426.27,In-Domain
Test_Substance_637,462-92-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,14.63,In-Domain
Test_Substance_638,742-55-8,Non-Sensitizer (NC),Not Classified,1823.85,In-Domain
Test_Substance_639,785-17-5,Non-Sensitizer (NC),Not Classified,1852.67,In-Domain
Test_Substance_640,384-66-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,131.86,In-Domain
Test_Substance_641,384-29-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,19.09,In-Domain
Test_Substance_642,108-64-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.85,In-Domain
Test_Substance_643,668-39-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,375.26,In-Domain
Test_Substance_644,173-70-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,267.85,Out-of-Domain (Expert Review)
Test_Substance_645,299-67-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,80.0,In-Domain
Test_Substance_646,549-90-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,207.66,In-Domain
Test_Substance_647,632-18-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,329.25,In-Domain
Test_Substance_648,838-73-3,Non-Sensitizer (NC),Not Classified,1862.35,In-Domain
Test_Substance_649,893-51-5,Non-Sensitizer (NC),Not Classified,1312.52,In-Domain
Test_Substance_650,286-68-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,314.87,In-Domain
Test_Substance_651,256-89-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,458.54,In-Domain
Test_Substance_652,840-27-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,110.23,In-Domain
Test_Substance_653,727-76-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.77,In-Domain
Test_Substance_654,671-22-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,421.68,In-Domain
Test_Substance_655,256-13-6,Non-Sensitizer (NC),Not Classified,594.8,In-Domain
Test_Substance_656,389-85-0,Non-Sensitizer (NC),Not Classified,1680.08,In-Domain
Test_Substance_657,119-30-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,64.11,In-Domain
Test_Substance_658,737-15-8,Non-Sensitizer (NC),Not Classified,1445.1,In-Domain
Test_Substance_659,504-86-5,Non-Sensitizer (NC),Not Classified,1832.19,In-Domain
Test_Substance_660,817-47-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,37.53,In-Domain
Test_Substance_661,622-83-2,Non-Sensitizer (NC),Not Classified,1900.36,In-Domain
Test_Substance_662,302-22-0,Non-Sensitizer (NC),Not Classified,862.32,Out-of-Domain (Expert Review)
Test_Substance_663,557-57-4,Non-Sensitizer (NC),Not Classified,1837.58,In-Domain
Test_Substance_664,163-58-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,1.21,In-Domain
Test_Substance_665,404-12-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.94,In-Domain
Test_Substance_666,622-38-2,Non-Sensitizer (NC),Not Classified,1380.45,In-Domain
Test_Substance_667,325-57-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,368.36,In-Domain
Test_Substance_668,589-78-4,Non-Sensitizer (NC),Not Classified,1068.75,In-Domain
Test_Substance_669,162-51-3,Non-Sensitizer (NC),Not Classified,1971.68,In-Domain
Test_Substance_670,238-27-6,Non-Sensitizer (NC),Not Classified,1256.06,In-Domain
Test_Substance_671,694-96-8,Non-Sensitizer (NC),Not Classified,665.18,In-Domain
Test_Substance_672,882-73-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,488.41,In-Domain
Test_Substance_673,775-56-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,130.79,In-Domain
Test_Substance_674,161-42-6,Non-Sensitizer (NC),Not Classified,754.68,Out-of-Domain (Expert Review)
Test_Substance_675,581-47-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,22.95,In-Domain
Test_Substance_676,883-46-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,479.1,In-Domain
Test_Substance_677,860-31-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,46.1,In-Domain
Test_Substance_678,689-93-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,21.46,In-Domain
Test_Substance_679,94-68-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.69,In-Domain
Test_Substance_680,560-82-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,37.0,In-Domain
Test_Substance_681,272-66-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,11.2,In-Domain
Test_Substance_682,429-62-6,Non-Sensitizer (NC),Not Classified,1663.89,In-Domain
Test_Substance_683,543-20-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,351.22,In-Domain
Test_Substance_684,325-59-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,10.93,In-Domain
Test_Substance_685,133-12-4,Non-Sensitizer (NC),Not Classified,612.32,In-Domain
Test_Substance_686,105-32-7,Non-Sensitizer (NC),Not Classified,1951.65,In-Domain
Test_Substance_687,617-69-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,31.71,In-Domain
Test_Substance_688,85-35-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,209.23,In-Domain
Test_Substance_689,425-96-5,Non-Sensitizer (NC),Not Classified,1665.23,In-Domain
Test_Substance_690,145-71-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,186.16,In-Domain
Test_Substance_691,404-53-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,401.27,In-Domain
Test_Substance_692,874-64-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.25,In-Domain
Test_Substance_693,737-27-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,256.35,In-Domain
Test_Substance_694,880-48-0,Non-Sensitizer (NC),Not Classified,1496.34,In-Domain
Test_Substance_695,131-86-8,Non-Sensitizer (NC),Not Classified,1910.63,Out-of-Domain (Expert Review)
Test_Substance_696,376-57-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,267.48,In-Domain
Test_Substance_697,273-71-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,35.08,In-Domain
Test_Substance_698,638-69-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,47.6,In-Domain
Test_Substance_699,721-68-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,27.86,In-Domain
Test_Substance_700,500-37-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,42.81,In-Domain
Test_Substance_701,471-81-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.37,In-Domain
Test_Substance_702,660-19-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,114.44,In-Domain
Test_Substance_703,398-78-3,Non-Sensitizer (NC),Not Classified,1006.29,In-Domain
Test_Substance_704,811-93-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,149.3,In-Domain
Test_Substance_705,675-58-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,388.28,In-Domain
Test_Substance_706,322-33-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,154.5,In-Domain
Test_Substance_707,825-68-6,Non-Sensitizer (NC),Not Classified,560.18,In-Domain
Test_Substance_708,51-91-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,38.74,In-Domain
Test_Substance_709,287-91-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,470.83,In-Domain
Test_Substance_710,516-24-8,Non-Sensitizer (NC),Not Classified,568.27,In-Domain
Test_Substance_711,433-61-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,398.12,In-Domain
Test_Substance_712,93-84-1,Non-Sensitizer (NC),Not Classified,1892.58,In-Domain
Test_Substance_713,286-87-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.13,In-Domain
Test_Substance_714,370-51-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,176.54,In-Domain
Test_Substance_715,465-94-4,Non-Sensitizer (NC),Not Classified,688.32,In-Domain
Test_Substance_716,663-46-2,Non-Sensitizer (NC),Not Classified,1891.04,In-Domain
Test_Substance_717,188-97-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,398.88,In-Domain
Test_Substance_718,717-26-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,182.27,Out-of-Domain (Expert Review)
Test_Substance_719,168-46-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,192.97,In-Domain
Test_Substance_720,725-67-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,207.75,In-Domain
Test_Substance_721,749-92-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,294.41,In-Domain
Test_Substance_722,259-57-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,16.0,In-Domain
Test_Substance_723,419-13-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,493.18,In-Domain
Test_Substance_724,637-40-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,5.07,In-Domain
Test_Substance_725,628-33-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,252.01,In-Domain
Test_Substance_726,59-92-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,388.05,In-Domain
Test_Substance_727,162-24-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.18,In-Domain
Test_Substance_728,211-96-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,33.34,In-Domain
Test_Substance_729,232-10-5,Non-Sensitizer (NC),Not Classified,1863.77,In-Domain
Test_Substance_730,482-95-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,9.64,In-Domain
Test_Substance_731,192-61-8,Non-Sensitizer (NC),Not Classified,1297.23,In-Domain
Test_Substance_732,674-56-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.27,In-Domain
Test_Substance_733,775-32-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,469.21,In-Domain
Test_Substance_734,761-84-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,302.3,In-Domain
Test_Substance_735,492-78-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.25,In-Domain
Test_Substance_736,868-39-6,Non-Sensitizer (NC),Not Classified,1675.27,In-Domain
Test_Substance_737,494-63-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,28.61,In-Domain
Test_Substance_738,723-40-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.21,In-Domain
Test_Substance_739,662-10-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,26.42,In-Domain
Test_Substance_740,384-90-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,34.59,In-Domain
Test_Substance_741,736-26-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,207.93,In-Domain
Test_Substance_742,545-87-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,120.3,In-Domain
Test_Substance_743,704-63-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,132.28,In-Domain
Test_Substance_744,758-95-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,10.61,Out-of-Domain (Expert Review)
Test_Substance_745,581-15-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,320.8,In-Domain
Test_Substance_746,298-23-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,328.7,In-Domain
Test_Substance_747,540-44-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,102.45,In-Domain
Test_Substance_748,171-57-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,154.24,In-Domain
Test_Substance_749,99-74-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,247.24,In-Domain
Test_Substance_750,447-46-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,235.99,In-Domain
Test_Substance_751,437-54-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,63.22,In-Domain
Test_Substance_752,220-40-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,154.2,In-Domain
Test_Substance_753,420-66-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,426.44,Out-of-Domain (Expert Review)
Test_Substance_754,782-48-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,16.08,Out-of-Domain (Expert Review)
Test_Substance_755,683-13-6,Non-Sensitizer (NC),Not Classified,719.74,In-Domain
Test_Substance_756,657-82-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,245.25,In-Domain
Test_Substance_757,496-76-0,Non-Sensitizer (NC),Not Classified,822.89,In-Domain
Test_Substance_758,465-95-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,196.02,In-Domain
Test_Substance_759,808-20-2,Non-Sensitizer (NC),Not Classified,1920.14,In-Domain
Test_Substance_760,579-82-6,Non-Sensitizer (NC),Not Classified,786.78,In-Domain
Test_Substance_761,305-96-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,44.41,In-Domain
Test_Substance_762,74-83-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,8.96,In-Domain
Test_Substance_763,74-87-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,203.31,In-Domain
Test_Substance_764,572-94-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,123.44,In-Domain
Test_Substance_765,625-11-8,Non-Sensitizer (NC),Not Classified,956.97,In-Domain
Test_Substance_766,290-27-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,72.88,Out-of-Domain (Expert Review)
Test_Substance_767,413-56-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,29.37,Out-of-Domain (Expert Review)
Test_Substance_768,332-88-7,Non-Sensitizer (NC),Not Classified,1316.34,In-Domain
Test_Substance_769,61-22-0,Non-Sensitizer (NC),Not Classified,1062.15,In-Domain
Test_Substance_770,569-78-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,16.22,In-Domain
Test_Substance_771,712-25-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,201.92,In-Domain
Test_Substance_772,244-24-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,24.88,In-Domain
Test_Substance_773,70-73-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,298.79,In-Domain
Test_Substance_774,887-72-3,Non-Sensitizer (NC),Not Classified,730.93,In-Domain
Test_Substance_775,79-54-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,106.59,In-Domain
Test_Substance_776,270-31-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,137.13,In-Domain
Test_Substance_777,599-79-3,Non-Sensitizer (NC),Not Classified,946.0,In-Domain
Test_Substance_778,437-59-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,421.75,In-Domain
Test_Substance_779,327-67-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.99,In-Domain
Test_Substance_780,667-16-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.52,In-Domain
Test_Substance_781,490-94-2,Non-Sensitizer (NC),Not Classified,1690.75,In-Domain
Test_Substance_782,187-11-1,Non-Sensitizer (NC),Not Classified,1652.03,In-Domain
Test_Substance_783,351-48-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,303.95,In-Domain
Test_Substance_784,390-13-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,175.59,In-Domain
Test_Substance_785,274-84-0,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.01,Out-of-Domain (Expert Review)
Test_Substance_786,667-33-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,401.44,In-Domain
Test_Substance_787,220-84-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,6.73,In-Domain
Test_Substance_788,866-25-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,354.45,In-Domain
Test_Substance_789,842-19-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,243.14,In-Domain
Test_Substance_790,352-46-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,347.55,In-Domain
Test_Substance_791,412-36-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,30.5,In-Domain
Test_Substance_792,61-49-8,Non-Sensitizer (NC),Not Classified,775.26,In-Domain
Test_Substance_793,787-57-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,56.26,In-Domain
Test_Substance_794,725-33-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,399.88,In-Domain
Test_Substance_795,334-24-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,33.36,In-Domain
Test_Substance_796,671-87-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,303.81,In-Domain
Test_Substance_797,381-31-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,203.5,In-Domain
Test_Substance_798,688-89-3,Non-Sensitizer (NC),Not Classified,1987.18,In-Domain
Test_Substance_799,197-27-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,188.62,In-Domain
Test_Substance_800,748-78-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,0.56,In-Domain
Test_Substance_801,767-79-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,107.59,In-Domain
Test_Substance_802,849-24-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,300.5,In-Domain
Test_Substance_803,158-36-3,Non-Sensitizer (NC),Not Classified,1877.6,In-Domain
Test_Substance_804,92-40-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,179.78,In-Domain
Test_Substance_805,849-49-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,164.59,Out-of-Domain (Expert Review)
Test_Substance_806,458-31-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,281.56,In-Domain
Test_Substance_807,296-10-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,224.99,In-Domain
Test_Substance_808,615-97-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.51,In-Domain
Test_Substance_809,242-67-4,Non-Sensitizer (NC),Not Classified,1993.35,In-Domain
Test_Substance_810,375-17-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,231.28,In-Domain
Test_Substance_811,413-85-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,382.35,In-Domain
Test_Substance_812,836-54-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,389.09,In-Domain
Test_Substance_813,92-92-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,22.43,In-Domain
Test_Substance_814,75-32-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,48.19,In-Domain
Test_Substance_815,829-88-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,3.32,In-Domain
Test_Substance_816,855-52-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.07,In-Domain
Test_Substance_817,269-74-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,163.62,In-Domain
Test_Substance_818,425-16-6,Non-Sensitizer (NC),Not Classified,1374.74,In-Domain
Test_Substance_819,701-52-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,135.55,In-Domain
Test_Substance_820,318-98-5,Non-Sensitizer (NC),Not Classified,531.5,In-Domain
Test_Substance_821,529-58-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,484.95,In-Domain
Test_Substance_822,264-54-6,Moderate/Weak Sensitizer (1B),Sub-category 1B,235.58,In-Domain
Test_Substance_823,103-38-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,310.92,In-Domain
Test_Substance_824,397-26-2,Strong/Extreme Sensitizer (1A),Sub-category 1A,8.72,In-Domain
Test_Substance_825,128-98-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,209.69,In-Domain
